Index,Position,High Score,High Rebound,High Assist,High Steal,High Free Throws,High Three Pointers,High Block,Total Games,Total Points,Hall Of Famer,Points,Assists,Rebound,Height,Weight,Country,Previous Team,Birthdate,Total Awards,Draft Year,Draft Round,Draft Pick
60,1,21,17,5,3,7,0,3,409,4914,False,14.3,1.7,9.8,2.06,110.0,72,549,1998,1,2017,1,22
61,6,0,0,0,0,0,0,0,117,336,False,2.9,1.7,1.1,1.93,83.0,72,427,1973,0,1995,2,49
62,0,0,0,0,0,0,0,0,47,258,False,5.5,2.3,1.5,1.85,91.0,72,19,1993,0,2017,2,53
63,4,12,10,2,2,2,0,2,388,1847,False,4.8,1.0,4.8,2.06,118.0,72,543,1989,0,2011,2,50
64,6,25,9,8,3,10,0,1,702,9407,False,13.4,4.5,3.1,1.88,79.0,72,577,1947,0,1969,1,3
65,3,13,8,3,2,2,0,2,478,2334,False,4.9,0.5,2.8,2.08,116.0,72,595,1978,0,-1,-1,-1
66,3,0,0,0,0,0,0,0,70,252,False,3.6,0.3,2.1,2.03,100.0,72,200,1965,0,-1,-1,-1
67,6,51,11,10,5,11,9,2,1300,24505,True,18.9,3.4,4.1,1.96,93.0,72,133,1975,13,1996,1,5
68,0,19,13,6,5,9,1,3,820,6654,False,8.1,1.3,3.5,1.93,97.0,72,410,1982,6,2004,1,25
69,3,0,0,0,0,0,0,0,36,67,False,1.9,0.3,1.3,1.98,88.0,72,578,1949,0,1971,5,76
71,3,0,0,0,0,0,0,0,22,59,False,2.7,1.1,3.0,2.03,100.0,72,577,1958,0,1980,5,103
72,6,0,0,0,0,0,0,0,38,119,False,3.1,0.3,1.2,1.98,102.0,72,456,1985,0,2007,1,25
73,0,0,0,0,0,0,0,0,139,751,False,5.4,0.7,3.8,2.11,102.0,72,164,1972,0,1994,2,33
74,6,26,11,10,4,5,6,2,671,6799,False,10.1,4.8,2.8,1.88,79.0,72,209,1976,0,1998,2,39
76,6,12,3,4,2,4,2,1,115,880,False,9.0,3.0,2.3,1.83,81.0,72,220,1998,0,-1,-1,-1
77,4,5,2,2,2,3,0,2,294,1837,False,6.2,0.8,2.6,2.08,122.0,74,426,1970,0,-1,-1,-1
78,0,0,0,0,0,0,0,0,85,379,False,4.5,0.4,4.2,2.03,104.0,72,502,1971,0,-1,-1,-1
79,3,30,15,4,5,7,6,3,711,5350,False,7.5,1.2,6.0,2.03,100.0,72,605,1990,1,2010,1,8
80,3,7,7,1,2,3,0,2,428,1564,False,3.7,0.4,3.6,2.06,100.0,72,578,1982,0,-1,-1,-1
81,3,0,0,0,0,0,0,0,33,133,False,4.0,0.9,2.1,1.91,91.0,72,331,1937,0,1959,3,20
82,0,16,14,2,3,7,0,6,695,3755,False,5.4,0.5,5.0,2.08,111.0,72,57,1978,0,-1,-1,-1
84,5,23,9,3,3,3,4,1,330,2421,False,7.3,1.1,2.2,1.98,100.0,72,331,1982,0,-1,-1,-1
86,6,2,0,0,0,0,0,0,81,247,False,3.0,0.8,1.3,1.88,91.0,72,517,1944,0,1967,4,35
87,6,0,0,0,0,0,0,0,95,347,False,3.7,1.7,1.0,1.88,84.0,72,501,1951,0,1974,6,92
88,6,22,5,6,2,8,2,1,615,7357,False,12.0,3.4,3.2,1.96,88.0,72,274,1974,2,1997,1,13
90,3,2,1,0,0,0,0,0,27,42,False,1.6,0.2,1.1,2.06,100.0,72,256,1970,0,-1,-1,-1
91,2,18,10,2,2,3,0,2,680,4953,False,7.3,0.6,6.2,2.08,113.0,72,241,1964,2,1987,1,23
92,7,4,4,1,1,1,1,0,247,1422,False,5.8,1.2,2.3,1.98,97.0,72,410,1989,0,2010,1,20
93,6,2,1,1,0,0,0,0,49,127,False,2.6,0.3,0.5,1.96,88.0,72,617,1953,0,1975,3,53
94,0,14,7,2,3,5,3,1,242,1284,False,5.3,0.8,2.6,1.96,105.0,72,596,1993,0,2015,1,21
95,0,30,7,11,3,9,3,1,858,10789,False,12.6,6.1,3.1,1.85,76.0,72,220,1970,1,1991,1,2
96,3,0,0,0,0,0,0,0,21,63,False,3.0,0.7,2.1,2.01,91.0,72,343,1955,0,1978,7,146
97,5,20,13,7,6,4,1,2,574,4013,False,9.4,4.9,5.3,2.06,104.0,72,577,1993,0,2014,1,30
98,6,0,0,0,0,0,0,0,36,204,False,5.7,4.3,2.5,1.8,83.0,72,162,1966,0,1988,3,73
99,3,4,1,0,0,0,1,1,157,751,False,4.8,0.7,2.8,2.03,88.0,72,63,1960,0,1982,2,36
100,5,29,12,7,6,8,4,3,800,11529,False,14.4,2.6,5.1,1.98,103.0,72,251,1968,3,1989,1,11
101,3,14,5,3,2,4,3,1,407,2260,False,5.6,1.5,3.5,2.08,109.0,72,95,1960,0,1982,2,32
102,3,26,7,6,2,10,1,2,664,7056,False,10.6,1.4,3.5,2.01,98.0,72,209,1958,0,1984,2,27
103,0,26,12,4,2,4,4,2,649,8001,False,12.3,0.9,5.3,2.06,109.0,72,84,1988,1,2008,1,21
104,7,17,11,5,3,6,2,1,719,5327,False,7.4,1.4,3.1,1.98,98.0,72,217,1973,0,1996,2,54
105,7,38,10,7,4,7,2,2,555,6771,False,12.2,3.8,3.8,2.03,91.0,72,217,1967,3,1988,1,10
106,1,0,0,0,0,0,0,0,44,159,False,3.6,0.2,1.9,2.01,100.0,72,136,1946,0,1969,2,25
109,0,0,0,0,0,0,0,0,14,13,False,0.9,0.1,0.9,2.08,113.0,72,577,1998,0,2017,2,47
110,3,0,0,0,0,0,0,0,149,1026,False,6.9,0.4,4.2,2.01,102.0,72,5,1967,0,1989,2,37
111,1,0,0,0,0,0,0,0,155,813,False,5.2,0.8,3.4,2.13,113.0,3,492,1975,2,1997,1,18
112,3,50,23,15,3,17,3,5,719,16280,False,31.1,5.7,11.8,2.13,110.0,30,194,1994,38,2013,1,15
113,3,0,0,0,0,0,0,0,22,21,False,1.0,0.1,1.0,2.08,91.0,30,147,1997,0,2018,2,60
114,3,4,3,2,1,2,0,1,164,449,False,1.4,0.4,1.2,2.01,99.0,30,421,1992,0,2014,2,51
115,3,42,17,9,5,16,4,2,1260,28289,False,22.5,2.7,6.2,2.01,108.0,72,539,1984,39,2003,1,3
116,6,0,0,0,0,0,0,0,172,2448,False,13.0,3.9,4.8,1.91,84.0,72,380,2000,0,2020,1,15
117,6,16,6,8,4,5,3,1,757,5497,False,7.3,4.0,1.9,1.85,82.0,72,578,1967,0,1991,1,12
118,1,12,11,2,2,6,0,5,490,1064,False,2.2,0.2,2.8,2.06,111.0,13,578,1982,0,-1,-1,-1
119,4,8,7,2,2,4,2,2,113,708,False,6.3,0.9,3.5,2.11,118.0,41,413,1982,0,-1,-1,-1
120,3,26,13,4,3,6,4,2,368,4268,False,16.8,2.0,5.0,2.01,105.0,74,256,1997,0,2017,1,23
122,1,7,4,1,1,3,0,0,139,389,False,2.8,0.3,2.8,2.11,122.0,9,67,1980,0,2004,1,8
124,6,28,3,14,2,12,1,1,876,16481,True,18.8,7.4,2.3,1.85,68.0,72,558,1948,9,1970,2,19
125,3,0,0,0,0,0,0,0,44,51,False,1.2,0.4,1.6,2.11,113.0,56,251,1980,1,2002,2,31
126,0,0,0,0,0,0,0,0,237,1031,False,1.3,1.2,0.8,1.91,88.0,72,595,1994,0,-1,-1,-1
127,1,9,4,2,0,3,0,1,218,771,False,3.5,0.7,3.8,2.06,98.0,72,119,1948,0,1970,1,6
128,6,44,8,14,6,14,6,2,552,11402,False,20.7,5.3,3.9,1.93,98.0,72,19,1982,13,2001,2,30
129,0,30,15,9,4,6,6,2,1118,11593,False,10.4,2.1,4.8,2.03,98.0,72,577,1985,0,2004,2,43
130,3,43,0,8,0,15,0,0,713,16266,True,22.8,2.3,8.6,1.93,86.0,72,595,1928,6,1950,-1,-1
132,6,23,6,10,4,10,4,1,747,7320,False,9.8,3.3,1.8,1.88,84.0,72,262,1967,0,1989,1,18
133,1,0,0,0,0,0,0,0,19,28,False,1.5,0.2,2.1,2.03,100.0,72,331,1933,0,1955,-1,-1
134,6,2,2,1,1,0,0,0,108,239,False,2.2,0.2,0.6,1.96,84.0,72,429,1980,0,2001,1,23
135,6,21,10,8,4,9,4,1,840,7712,False,9.2,4.0,2.7,1.85,82.0,72,192,1968,4,-1,-1,-1
136,4,9,6,1,2,3,0,2,292,880,False,3.0,0.3,2.6,2.11,107.0,72,133,1984,0,2006,1,12
