Index,Position,High Score,High Rebound,High Assist,High Steal,High Field Goals,High Free Throws,High Three Pointers,High Block,Total Games,Total Points,Hall Of Famer,Points,Assists,Rebound,Height,Weight,Country,Previous Team,Birthdate,Experience,Total Awards,Draft Year,Draft Round,Draft Pick
84,5,23,9,3,3,9,3,4,1,330,2421,FALSE,7.3,1.1,2.2,1.98,100,72,331,1982,9,0,-1,-1,-1
86,6,2,0,0,0,1,0,0,0,81,247,FALSE,3,0.8,1.3,1.88,91,72,517,1944,3,0,1967,4,35
87,6,0,0,0,0,0,0,0,0,95,347,FALSE,3.7,1.7,1,1.88,84,72,501,1951,2,0,1974,6,92
88,6,22,5,6,2,8,8,2,1,615,7357,FALSE,12,3.4,3.2,1.96,88,72,274,1974,12,2,1997,1,13
90,3,2,1,0,0,1,0,0,0,27,42,FALSE,1.6,0.2,1.1,2.06,100,72,256,1970,2,0,-1,-1,-1
91,2,18,10,2,2,8,3,0,2,680,4953,FALSE,7.3,0.6,6.2,2.08,113,72,241,1964,10,2,1987,1,23
92,7,4,4,1,1,2,1,1,0,247,1422,FALSE,5.8,1.2,2.3,1.98,97,72,410,1989,6,0,2010,1,20
93,6,2,1,1,0,1,0,0,0,49,127,FALSE,2.6,0.3,0.5,1.96,88,72,617,1953,2,0,1975,3,53
94,0,14,7,2,3,5,5,3,1,242,1284,FALSE,5.3,0.8,2.6,1.96,105,72,596,1993,7,0,2015,1,21
95,0,30,7,11,3,9,9,3,1,858,10789,FALSE,12.6,6.1,3.1,1.85,76,72,220,1970,14,1,1991,1,2
96,3,0,0,0,0,0,0,0,0,21,63,FALSE,3,0.7,2.1,2.01,91,72,343,1955,1,0,1978,7,146
97,5,20,13,7,6,8,4,1,2,574,4013,FALSE,9.4,4.9,5.3,2.06,104,72,577,1993,8,0,2014,1,30
98,6,0,0,0,0,0,0,0,0,36,204,FALSE,5.7,4.3,2.5,1.8,83,72,162,1966,1,0,1988,3,73
99,3,4,1,0,0,2,0,1,1,157,751,FALSE,4.8,0.7,2.8,2.03,88,72,63,1960,3,0,1982,2,36
100,5,29,12,7,6,10,8,4,3,800,11529,FALSE,14.4,2.6,5.1,1.98,103,72,251,1968,14,3,1989,1,11
101,3,14,5,3,2,6,4,3,1,407,2260,FALSE,5.6,1.5,3.5,2.08,109,72,95,1960,6,0,1982,2,32
102,3,26,7,6,2,13,10,1,2,664,7056,FALSE,10.6,1.4,3.5,2.01,98,72,209,1958,10,0,1984,2,27
103,0,26,12,4,2,10,4,4,2,649,8001,FALSE,12.3,0.9,5.3,2.06,109,72,84,1988,12,1,2008,1,21
104,7,17,11,5,3,7,6,2,1,719,5327,FALSE,7.4,1.4,3.1,1.98,98,72,217,1973,10,0,1996,2,54
105,7,38,10,7,4,18,7,2,2,555,6771,FALSE,12.2,3.8,3.8,2.03,91,72,217,1967,8,3,1988,1,10
106,1,0,0,0,0,0,0,0,0,44,159,FALSE,3.6,0.2,1.9,2.01,100,72,136,1946,1,0,1969,2,25
109,0,0,0,0,0,0,0,0,0,14,13,FALSE,0.9,0.1,0.9,2.08,113,72,577,1998,3,0,2017,2,47
110,3,0,0,0,0,0,0,0,0,149,1026,FALSE,6.9,0.4,4.2,2.01,102,72,5,1967,3,0,1989,2,37
111,1,0,0,0,0,0,0,0,0,155,813,FALSE,5.2,0.8,3.4,2.13,113,3,492,1975,2,2,1997,1,18
112,3,50,23,15,3,16,17,3,5,719,16280,FALSE,31.1,5.7,11.8,2.13,110,30,194,1994,9,38,2013,1,15
113,3,0,0,0,0,0,0,0,0,22,21,FALSE,1,0.1,1,2.08,91,30,147,1997,4,0,2018,2,60
114,3,4,3,2,1,2,2,0,1,164,449,FALSE,1.4,0.4,1.2,2.01,99,30,421,1992,4,0,2014,2,51
115,3,42,17,9,5,18,16,4,2,1260,28289,FALSE,22.5,2.7,6.2,2.01,108,72,539,1984,20,39,2003,1,3
116,6,0,0,0,0,0,0,0,0,172,2448,FALSE,13,3.9,4.8,1.91,84,72,380,2000,2,0,2020,1,15
117,6,16,6,8,4,5,5,3,1,757,5497,FALSE,7.3,4,1.9,1.85,82,72,578,1967,11,0,1991,1,12
118,1,12,11,2,2,6,6,0,5,490,1064,FALSE,2.2,0.2,2.8,2.06,111,13,578,1982,11,0,-1,-1,-1
119,4,8,7,2,2,3,4,2,2,113,708,FALSE,6.3,0.9,3.5,2.11,118,41,413,1982,2,0,-1,-1,-1
120,3,26,13,4,3,10,6,4,2,368,4268,FALSE,16.8,2,5,2.01,105,74,256,1997,5,0,2017,1,23
122,1,7,4,1,1,2,3,0,0,139,389,FALSE,2.8,0.3,2.8,2.11,122,9,67,1980,4,0,2004,1,8
